	First Name	Last Name	Age										
1	John	Smith	20										
2	Jane	Doe	20										
3	Michael	Johnson	20										
4	Emily	Brown	20		U1. sortera excel datan så de kommer i nummerordning enligt ID 1-100								
5	Daniel	Davis	21										
6	Sarah	Miller	21		U2.  Räkna ihop totala åldern på alla med hjälp av SumIf								
7	David	Wilson	21										
8	Laura	Moore	21		U3. Räkna ut medelvärde på personalens ålder använd . Använd Average								
9	James	Taylor	22										
10	Jessica	Anderson	22		U4. Använd VLOOKUP för att lista ut ID nummer 66 vem det är "First Name & Last Name"								
11	Matthew	Thomas	22										
12	Ashley	Jackson	22										
13	Christopher	White	22										
14	Amanda	Harris	22		2790								
15	Joshua	Martin	22										
16	Megan	Thompson	22										
17	Andrew	Garcia	23		U2         	2790							
18	Stephanie	Martinez	23										
19	Justin	Robinson	23										
20	Brittany	Clark	23		u3 	27.9							66
21	Brandon	Rodriguez	23										
22	Heather	Lewis	24		U4 	Megan	Ramirez						
23	Samuel	Lee	24										
24	Rebecca	Walker	24										
25	Nathan	Hall	24										
26	Kimberly	Allen	24										
27	Adam	Young	25										
28	Melissa	King	25										
29	Tyler	Wright	25										
30	Michelle	Scott	25										
31	Zachary	Green	25										
32	Rachel	Adams	25										
33	Nicholas	Baker	25										
34	Nicole	Gonzalez	25										
35	Ryan	Nelson	26										
36	Emily	Carter	26										
37	Alexander	Mitchell	26										
38	Angela	Perez	26										
39	Jacob	Roberts	26										
40	Lauren	Turner	27										
41	Ethan	Phillips	27										
42	Victoria	Campbell	27										
43	Dylan	Parker	27										
44	Olivia	Evans	27										
45	Elijah	Edwards	27										
46	Hannah	Collins	28										
47	Christian	Stewart	28										
48	Amanda	Sanchez	28										
49	Aaron	Morris	28										
50	Amber	Rogers	28										
51	Kevin	Reed	28										
52	Amy	Cook	28										
53	Brian	Morgan	28										
54	Anna	Bell	28										
55	Justin	Murphy	29										
56	Heather	Bailey	29										
57	Jason	Rivera	29										
58	Jessica	Cooper	29										
59	Charles	Richardson	29										
60	Brittany	Cox	29										
61	Eric	Howard	30										
62	Rachel	Ward	30										
63	Thomas	Torres	30										
64	Lauren	Peterson	30										
65	Jonathan	Gray	30										
66	Megan	Ramirez	30										
67	Benjamin	James	30										
68	Stephanie	Watson	30										
69	Patrick	Brooks	30										
70	Nicole	Kelly	31										
71	Austin	Sanders	31										
72	Victoria	Price	31										
73	Alexander	Bennett	31										
74	Samantha	Wood	31										
75	Timothy	Barnes	31										
76	Sarah	Ross	31										
77	Nicholas	Henderson	31										
78	Lauren	Coleman	31										
79	Brandon	Jenkins	32										
80	Megan	Perry	32										
81	Andrew	Powell	32										
82	Emily	Long	32										
83	Ryan	Patterson	33										
84	Heather	Hughes	33										
85	Matthew	Flores	33										
86	Jessica	Washington	33										
87	David	Butler	33										
88	Amanda	Simmons	34										
89	James	Foster	34										
90	Ashley	Gonzales	34										
91	Jacob	Bryant	34										
92	Brittany	Alexander	35										
93	Tyler	Russell	35										
94	Sarah	Griffin	35										
95	Joshua	Diaz	35										
96	Emily	Hayes	35										
97	Andrew	Myers	36										
98	Rebecca	Ford	36										
99	Justin	Hamilton	36										
100	Rachel	Graham	36										
